~id,~from,~to,~label
44-308-HAS_PHONE-1854439234,customer-44,phone-308,HAS_PHONE
45-342-HAS_PHONE-2057780215,customer-45,phone-342,HAS_PHONE
46-321-HAS_PHONE-786274535,customer-46,phone-321,HAS_PHONE
47-323-HAS_PHONE-1393267497,customer-47,phone-323,HAS_PHONE
48-333-HAS_PHONE-1437093078,customer-48,phone-333,HAS_PHONE
49-303-HAS_PHONE-514060838,customer-49,phone-303,HAS_PHONE
50-337-HAS_PHONE-1182567679,customer-50,phone-337,HAS_PHONE
51-336-HAS_PHONE-149211133,customer-51,phone-336,HAS_PHONE
52-328-HAS_PHONE-1212913405,customer-52,phone-328,HAS_PHONE
53-334-HAS_PHONE-598183791,customer-53,phone-334,HAS_PHONE
54-303-HAS_PHONE-1372734318,customer-54,phone-303,HAS_PHONE
55-328-HAS_PHONE-514345181,customer-55,phone-328,HAS_PHONE
56-311-HAS_PHONE-1359922642,customer-56,phone-311,HAS_PHONE
57-338-HAS_PHONE-612742328,customer-57,phone-338,HAS_PHONE
58-312-HAS_PHONE-56179893,customer-58,phone-312,HAS_PHONE
59-335-HAS_PHONE-2052572703,customer-59,phone-335,HAS_PHONE
60-332-HAS_PHONE-1075206893,customer-60,phone-332,HAS_PHONE
61-338-HAS_PHONE-1057277932,customer-61,phone-338,HAS_PHONE
62-350-HAS_PHONE-1825132775,customer-62,phone-350,HAS_PHONE
63-302-HAS_PHONE-1043726863,customer-63,phone-302,HAS_PHONE
64-331-HAS_PHONE-1885829141,customer-64,phone-331,HAS_PHONE
65-340-HAS_PHONE-732641734,customer-65,phone-340,HAS_PHONE
66-336-HAS_PHONE-275374765,customer-66,phone-336,HAS_PHONE
67-311-HAS_PHONE-1148343499,customer-67,phone-311,HAS_PHONE
68-318-HAS_PHONE-559734547,customer-68,phone-318,HAS_PHONE
69-322-HAS_PHONE-1677663807,customer-69,phone-322,HAS_PHONE
70-339-HAS_PHONE-986513506,customer-70,phone-339,HAS_PHONE
71-348-HAS_PHONE-2062701502,customer-71,phone-348,HAS_PHONE
72-307-HAS_PHONE-1752358049,customer-72,phone-307,HAS_PHONE
73-332-HAS_PHONE-1049010578,customer-73,phone-332,HAS_PHONE
74-306-HAS_PHONE-1767912798,customer-74,phone-306,HAS_PHONE
75-341-HAS_PHONE-1339307703,customer-75,phone-341,HAS_PHONE
76-305-HAS_PHONE-1268363394,customer-76,phone-305,HAS_PHONE
77-302-HAS_PHONE-972456937,customer-77,phone-302,HAS_PHONE
78-339-HAS_PHONE-2097802576,customer-78,phone-339,HAS_PHONE
79-343-HAS_PHONE-1075066021,customer-79,phone-343,HAS_PHONE
80-326-HAS_PHONE-1449469099,customer-80,phone-326,HAS_PHONE
81-304-HAS_PHONE-40134054,customer-81,phone-304,HAS_PHONE
82-306-HAS_PHONE-559311813,customer-82,phone-306,HAS_PHONE
83-339-HAS_PHONE-334017009,customer-83,phone-339,HAS_PHONE
84-333-HAS_PHONE-1709778335,customer-84,phone-333,HAS_PHONE
85-348-HAS_PHONE-1990544975,customer-85,phone-348,HAS_PHONE
86-304-HAS_PHONE-1319467461,customer-86,phone-304,HAS_PHONE
87-313-HAS_PHONE-1670167160,customer-87,phone-313,HAS_PHONE
88-331-HAS_PHONE-1526615512,customer-88,phone-331,HAS_PHONE
89-322-HAS_PHONE-232618006,customer-89,phone-322,HAS_PHONE
90-303-HAS_PHONE-142216092,customer-90,phone-303,HAS_PHONE
91-303-HAS_PHONE-955113764,customer-91,phone-303,HAS_PHONE
92-328-HAS_PHONE-1445361249,customer-92,phone-328,HAS_PHONE
93-322-HAS_PHONE-340593156,customer-93,phone-322,HAS_PHONE
94-344-HAS_PHONE-983515318,customer-94,phone-344,HAS_PHONE
95-328-HAS_PHONE-1453997862,customer-95,phone-328,HAS_PHONE
96-310-HAS_PHONE-980975233,customer-96,phone-310,HAS_PHONE
97-317-HAS_PHONE-859179714,customer-97,phone-317,HAS_PHONE
98-332-HAS_PHONE-745160612,customer-98,phone-332,HAS_PHONE
99-329-HAS_PHONE-77393106,customer-99,phone-329,HAS_PHONE
100-331-HAS_PHONE-1861983377,customer-100,phone-331,HAS_PHONE
